Sample	percent_aligned	meth_chg	dup_reads_percent	strand_ot	strand_ob	dup_reads	discarded_reads	dedup_reads	percent_chg_meth	meth_chh	percent_cpg_meth	total_c	meth_cpg	percent_chh_meth	strand_ctot	aligned_reads	unmeth_cpg	total_reads	strand_ctob	ambig_reads	no_alignments	strand_directional	unmeth_chh	dedup_reads_percent	unmeth_chg
MethylC-Seq_mm_fc_22mo_SRR921799_1	76.1780143098	3721280.0	5.06	36700576.0	36550097.0	3705371.0	25.0	69545302.0	1.5	14599561.0	77.9	1069026087.0	35310751.0	1.9	0.0	73250673.0	10044648.0	96157236.0	0.0	13841962.0	9064576.0	directional	760750811.0	94.94	244599036.0
MethylC-Seq_mm_fc_22mo_SRR921800_1	75.6463387742	768984.0	3.19	7518304.0	7493252.0	478149.0	4.0	14533407.0	1.5	3011731.0	77.7	220247993.0	7292290.0	1.9	0.0	15011556.0	2094097.0	19844392.0	0.0	2864094.0	1968738.0	directional	156709830.0	96.81	50371061.0
MethylC-Seq_mm_fc_2wk_SRR921694_1	78.4227279763	4731636.0	6.97	60747577.0	59311948.0	8370629.0	19.0	111688896.0	0.9	14906573.0	75.7	1928202931.0	74456543.0	1.1	0.0	120059525.0	23848801.0	153092768.0	0.0	20954714.0	12078510.0	directional	1310219075.0	93.03	500040303.0
MethylC-Seq_mm_fc_2wk_SRR921695_1	78.3946320905	4738195.0	6.97	60833866.0	59401575.0	8385764.0	10.0	111849677.0	0.9	14929689.0	75.8	1930076424.0	74520126.0	1.1	0.0	120235441.0	23854898.0	153372033.0	0.0	21004325.0	12132257.0	directional	1311536907.0	93.03	500496609.0
MethylC-Seq_mm_fc_2wk_SRR921696_1	77.0913561169	3340228.0	6.12	45302673.0	44313762.0	5482044.0	6.0	84134391.0	0.9	10598154.0	75.7	1366729142.0	51721327.0	1.1	0.0	89616435.0	16593466.0	116247060.0	0.0	16932038.0	9698581.0	directional	933986359.0	93.88	350489608.0
MethylC-Seq_mm_fc_2wk_SRR921773_1	76.2889189623	3583627.0	6.32	49415480.0	48330368.0	6179436.0	4.0	91566412.0	0.9	11458218.0	75.8	1472451692.0	55160868.0	1.1	0.0	97745848.0	17617658.0	128125879.0	0.0	18822330.0	11557697.0	directional	1008780922.0	93.68	375850399.0
MethylC-Seq_mm_fc_4wk_SRR921697_1	74.0832499259	7197261.0	6.48	50893965.0	50062809.0	6544547.0	31.0	94412227.0	1.9	25612101.0	78.5	1513414151.0	55162015.0	2.4	0.0	100956774.0	15113825.0	136274764.0	0.0	19873639.0	15444320.0	directional	1037543147.0	93.52	372785802.0
MethylC-Seq_mm_fc_4wk_SRR921698_1	74.304304449	7776698.0	6.68	51982738.0	51048043.0	6887199.0	48.0	96143582.0	1.9	27496001.0	78.6	1586700464.0	59007337.0	2.5	0.0	103030781.0	16043189.0	138660582.0	0.0	19246162.0	16383591.0	directional	1081840020.0	93.32	394537219.0
MethylC-Seq_mm_fc_4wk_SRR921699_1	74.247841258	7822675.0	6.69	52447043.0	51514422.0	6951742.0	42.0	97009723.0	1.9	27662961.0	78.6	1601669598.0	59496091.0	2.5	0.0	103961465.0	16244997.0	140019512.0	0.0	19400821.0	16657184.0	directional	1092030460.0	93.31	398412414.0
MethylC-Seq_mm_fc_4wk_SRR921700_1	76.6332616764	10162664.0	7.24	66298605.0	65132505.0	9515768.0	69.0	121915342.0	1.9	35395685.0	78.2	2103894910.0	79085722.0	2.4	0.0	131431110.0	22028109.0	171506611.0	0.0	23242109.0	16833323.0	directional	1428881842.0	92.76	528340888.0
MethylC-Seq_mm_fc_6wk_SRR921778_1	73.4586774061	5666320.0	6.31	49217484.0	48386473.0	6155454.0	48.0	91448503.0	1.7	20821506.0	79.3	1411512666.0	48097120.0	2.1	0.0	97603957.0	12573234.0	132869200.0	0.0	19386594.0	15878601.0	directional	990631194.0	93.69	333723292.0
MethylC-Seq_mm_fc_6wk_SRR921779_1	74.9850384095	6371999.0	6.5	52206205.0	51313268.0	6727538.0	70.0	96791935.0	1.7	23175579.0	79.1	1560618839.0	54531475.0	2.1	0.0	103519473.0	14370733.0	138053504.0	0.0	18941633.0	15592328.0	directional	1087745670.0	93.5	374423383.0
MethylC-Seq_mm_fc_6wk_SRR921780_1	75.5817120943	6467274.0	6.51	52964757.0	52052887.0	6832181.0	54.0	98185463.0	1.7	23502228.0	79.1	1585190710.0	55364279.0	2.1	0.0	105017644.0	14626183.0	138945839.0	0.0	19117263.0	14810878.0	directional	1104777548.0	93.49	380453198.0
MethylC-Seq_mm_fc_6wk_SRR921781_1	77.3414392854	8366762.0	7.16	66591800.0	65365473.0	9453310.0	95.0	122503963.0	1.6	30042192.0	79.1	2061304321.0	73238464.0	2.1	0.0	131957273.0	19342024.0	170616521.0	0.0	22958749.0	15700404.0	directional	1431422917.0	92.84	498891962.0
