Module	Section	Sample Name	Source
FastQ Screen	all_sections	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1002/fastq_screen/P4107_1002_S2_L003_R1_001_screen.txt
FastQ Screen	all_sections	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1003/fastq_screen/P4107_1003_S3_L004_R2_001_screen.txt
GATK	varianteval	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1004.clean.dedup.recal.bam.snp.eval
GATK	varianteval	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1005.clean.dedup.recal.bam.snp.eval
GATK	varianteval	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1006.clean.dedup.recal.bam.snp.eval
GATK	varianteval	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1001.clean.dedup.recal.bam.snp.eval
GATK	varianteval	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1002.clean.dedup.recal.bam.snp.eval
GATK	varianteval	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1003.clean.dedup.recal.bam.snp.eval
SnpEff	all_sections	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1004.clean.dedup.recal.bam.recalibrated.snp.annotated.vcf.gz.snpEff.summary.csv
SnpEff	all_sections	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1005.clean.dedup.recal.bam.recalibrated.snp.annotated.vcf.gz.snpEff.summary.csv
SnpEff	all_sections	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1006.clean.dedup.recal.bam.recalibrated.snp.annotated.vcf.gz.snpEff.summary.csv
SnpEff	all_sections	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1001.clean.dedup.recal.bam.recalibrated.snp.annotated.vcf.gz.snpEff.summary.csv
SnpEff	all_sections	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1002.clean.dedup.recal.bam.recalibrated.snp.annotated.vcf.gz.snpEff.summary.csv
SnpEff	all_sections	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/07_variant_calls/P4107_1003.clean.dedup.recal.bam.recalibrated.snp.annotated.vcf.gz.snpEff.summary.csv
QualiMap	mapped_gc_distribution	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1004.clean.dedup.qc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1005.clean.dedup.qc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1006.clean.dedup.qc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1001.clean.dedup.qc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1002.clean.dedup.qc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1003.clean.dedup.qc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	insert_size_histogram	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1004.clean.dedup.qc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1005.clean.dedup.qc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1006.clean.dedup.qc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1001.clean.dedup.qc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1002.clean.dedup.qc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1003.clean.dedup.qc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	genome_results	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1004.clean.dedup.qc/genome_results.txt
QualiMap	genome_results	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1005.clean.dedup.qc/genome_results.txt
QualiMap	genome_results	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1006.clean.dedup.qc/genome_results.txt
QualiMap	genome_results	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1001.clean.dedup.qc/genome_results.txt
QualiMap	genome_results	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1002.clean.dedup.qc/genome_results.txt
QualiMap	genome_results	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1003.clean.dedup.qc/genome_results.txt
QualiMap	coverage_histogram	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1004.clean.dedup.qc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1005.clean.dedup.qc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1006.clean.dedup.qc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1001.clean.dedup.qc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1002.clean.dedup.qc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/06_final_alignment_qc/P4107_1003.clean.dedup.qc/raw_data_qualimapReport/coverage_histogram.txt
